Score,Slice,
5.9,Pranzo Pizza & Pasta,
5.9,Underground Pizza,
5.9,Joey Pepperoni's ,
5.8,Bella Vita Brick Oven Pizza,
5.8,Abitino's Pizzeria,
5.8,Mediterraneo,
5.7,Angelo Bellini,
5.7,Famous Amadeus,
5.6,Covina,
5.4,Ben's Pizzeria,
5.4,La Traviata Pizzeria,
5.4,OTTO Enoteca e Pizzeria,
5.3,Carve: Unique Sandwiches,
5.2,Olio e Piú,
5.2,D Napoli Pizza,
5.2,Vapiano NYC,
5.1,Uncle Paul's Pizza,
5.1,Rosario's Pizza,
5.1,42nd Street Pizza,
5.1,Naples 45,
5,Patzeria Pizza,
4.9,Previti Pizza,
4.9,99 Cent Fresh Pizza,
4.8,Adrienne's Pizzabar,
4.8,Dough Boys Pizza,
4.8,Pasta Lovers,
4.8,Pazza Notte,
4.8,Rosa's Pizza,
4.8,Yankee Pizza,
4.8,99 Cent Best & Fresh Pizza,
4.6,Don Giovanni Ristorante,
4.3,My Pie Pizzeria Romana,
4.2,Coppola's Restaurant & Trattoria - East,
4.2,Big Nick's,
4.2,Little Italy Pizza,
4.2,Pizza Italia,
4.2,Pronto Pizza,
4.2,Picasso Pizzeria,
4.2,$1 Pizza,
4.2,Pomodoro Pizza,
4.1,Wild,
4,Pizza Park,
3.9,Don Pepi Pizza,
3.7,Mariella Pizza,
3.6,Daniela Trattoria,
3.4,Justino's Pizza,
3.4,5 Boroughs Pizza,
3.3,The Grotto,
3.2,Ribalta,
3.2,Citi Field,
3.2,La Gusto Pizza,
2.8,Rocky's Pizzeria,
2.7,Pier 86,
2.5,Da Vinci Pizzeria & Restaurant,
2.4,Pick & Pay,
2.4,Stanton Pizza,
2.2,Steve's Pizza,
2.1,Cafe 28,
2.1,iPizzaNY,
2.1,Pizza Mercato,
2.1,Leonelli,
1.8,99 Cents Famous Pizza,
1.8,Pizza Hut,
1.7,Highline Pizzeria,
1.2,Buca di Beppo Italian Restaurant,
1.2,Rubby Restaurant,
0.99,Pizza Gaga,
0.2,F & F Slice Pizza,
0.1,Open Market,
0.01,BD Best Pizza,
0,Great Burrito,
0,Industry Kitchen,
0,Sbarro,
0,Blaze Pizza,
,,
